Title,Memory Mapper Title (keywords to identify the project) (should include the research content,Project Location - In London ,Date,Link,Identification- DOI/URL/ISBN/Reference no.,  Authors,London Authors,Other Author (National+International),Department,Abstract,Partners,Partnership Location - In London,Policy Sources////Citations ( from Overton) ,Policy source subcategory,Partnership 1,Partnership 2,Partnership 3,Partnership 4,Filter 2 (Themes) ,Funder 1,Funder 2,Funder 3,Source,Output type
The privatisation of urban development and the London Olympics 2012,The privatisation of urban development and the London Olympics 2012,London,2012,https://www-tandfonline-com.libproxy.ucl.ac.uk/doi/pdf/10.1080/13604813.2012.696903?needAccess=true,10.1080/02697459.2012.694306,Mike Raco,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)",No abstract,,,,,,,,,,,,,RPS,Journal article
The London Way: The Politics of London’s Strategic Design,The Politics of London’s Strategic Design,London,2012,https://web-p-ebscohost-com.libproxy.ucl.ac.uk/ehost/pdfviewer/pdfviewer?vid=0&sid=4bb0ed90-f099-46cd-9dee-4aa55093ec56%40redis,,Matthew Carmona,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","Matthew Carmona tracks the vicissitudes of London’s political engagement in urban design over the last decade. He reveals the strengths, weaknesses and remarkable similarities of the approaches of the two Mayors of London, Ken Livingstone and Boris Johnson.",,,,,,,,,,,,,RPS,Journal article
Shaping Local London,Shaping Local London,London,2011,https://matthew-carmona.com/2011/02/16/shaping-local-london/,,Matthew Carmona,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","The rejection of Sir Christopher Wren’s grand plans to re-shape London with monumental avenues and piazzas following the great fire of 1666 set the tenor for London’s development ever since, a history in which the grand plan has rarely held sway, and instead London has been shaped by the incremental efforts of many largely private hands and by the efforts of municipal authorities running to keep up with the unstoppable force of private innovation and investment.  For most of London’s history the model served the city well, but in the second half of the 20thCentury it all went wrong.",,,,,,,,,,,,,RPS,Journal article
The monitored performance of the first new London dwelling certified to the Passive House standard,The first new London dwelling certified to the Passive House standard,"Camden PassivHaus (51.5581630730727, -0.19945114014591073)",2013,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000320909500007&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=f41074198c063036414efcbc916f8956,10.1016/j.enbuild.2013.03.052,"Ian Ridley
Alan Clarke
Justin Bere
Hector Altamirano
Sarah Lewis
Mila Durdev
Andrew Farr","Justin Bere
Sarah Lewis
Mila Durdev
Bere Architects, Mildmay Centre, Woodville Road, London, N16 8NA, UK
(51.55158401255449, -0.08592928831611478)","Ian Ridley
School of Property, Construction and Project Management, RMIT University, GPO Box 2476, Melbourne, VIC 3001, Australia
(-37.80842629544515, 144.96372198238294)

Alan Clarke
Alan Clarke Consultants, The Woodland, Whitecroft, Lydney, GL15 4PL, UK
(51.7542738687269, -2.5570941459797587)

Andrew Farr
The Green Building Store, Heath House Mill, Heath House Lane, Golcar, Huddersfield, HD7 4JW, UK (53.63662475709291, -1.8656070728934948)","Bartlett School of Environment, Energy and Resources (51.526804,-0.129844)","The monitored performance of the first new London dwelling certified to the Passive House standard is presented. The first detailed analysis of the energy consumption of the heating, ventilation and domestic hot water systems are given. The annual space heating demand of the 2 bedroom, 101 m2 dwelling was 12.1 kWh/m2, achieving the 15 kWh/m2 Passive House target. The annual primary energy demand was 125kWh/m2, marginally above the 120 kWh/m2 target. The measured internal heat gains of 3.65 W/m2 are much greater than the 2.1 W/m2 suggested as standard for dwellings. The Passive House Planning Package, PHPP, is found to be a good predictor of space heating demand and the risk of summer time over heating. Winter space heating demand is sensitive to occupant blind use. With a total metered energy consumption of 65 kWh/m2, the Camden Passive House is one of the lowest energy, small family dwellings, monitored in the UK.",,,,,,,,,,,,,RPS,Journal article
Exploring the evolution of London's street network in the information space: A dual approach,Exploring the evolution of London's street network in the information space,London,2014,https://journals-aps-org.libproxy.ucl.ac.uk/pre/pdf/10.1103/PhysRevE.89.012805,10.1103/PhysRevE.89.012805,"A. Paolo Masucci
Kiril Stanilov
Michael Batty",,"Kiril Stanilov
Martin Centre, University of Cambridge, Cambridge, United Kingdom (52.20547424911608, 0.11317871724372035)","Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","We study the growth of London's street network in its dual representation, as the city has evolved over the past 224 years. The dual representation of a planar graph is a content-based network, where each node is a set of edges of the planar graph and represents a transportation unit in the so-called information space, i.e., the space where information is handled in order to navigate through the city. First, we discuss a novel hybrid technique to extract dual graphs from planar graphs, called the hierarchical intersection continuity negotiation principle. Then we show that the growth of the network can be analytically described by logistic laws and that the topological properties of the network are governed by robust log-normal distributions characterizing the network's connectivity and small-world properties that are consistent over time. Moreover, we find that the double-Pareto-like distributions for the connectivity emerge for major roads and can be modeled via a stochastic content-based network model using simple space-filling principles.",,,,,,,,,,,,,RPS,Journal article
Mapping the 'Space of Flows': The Geography of Global Business Telecommunications and Employment Specialization in the London Mega-City-Region,Mapping the 'Space of Flows',London,2014,https://www.tandfonline.com/doi/full/10.1080/00343404.2013.856515,10.1080/00343404.2013.856515,"Jonathan Reades
Duncan A. Smith","Jonathan Reades
Department of Geography, King's College London, Strand Campus, The Strand, LondonWC2R 2LS, UK;LSE Cities, London School of Economics, Houghton Street, LondonWC2A 2AE, UK. (51.5131991564677, -0.11692547112513303)

Duncan A. Smith
LSE Cities, London School of Economics, Houghton Street, LondonWC2A 2AE, UK. (51.51459233648591, -0.11647275948183465)",,"Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","Telecommunications has radically reshaped the way that firms organize industrial activity. And yet, because much of this technology – and the interactions that it enables – is invisible, the corporate ‘space of flows’ remains poorly mapped. This article combines detailed employment and telecoms usage data for the South-east of England to build a sector-by-sector profile of globalization at the mega-city-region scale. The intersection of these two datasets allows a new empirical perspective on industrial geography and regional structure to be developed.",,,,,,,,,,,,,RPS,Journal article
"PV System Performance and the Potential Impact of the Green Deal Policy on Market Growth in London, UK",PV System Performance and the Potential Impact of the Green Deal Policy on Market Growth,"Berlin 
London",2013,https://pdf.sciencedirectassets.com/277910/1-s2.0-S1876610213X00128/1-s2.0-S1876610213017372/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEPr%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCICHzQE2Lvwg6TM6dB3yulELOK7faA7StROa6IUNuPMGhAiEA2P52wVVtmh1BtjHDdDZ%2Ba2hpseA8s26ZY8l9ipzyqNUquwUI0%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDBM1Vro28x4E7hDJmiqPBSZh4pMOnCS7CgMRiEN%2BVpD88MiSnqBwdoKOfMbWDWo9c4%2FDJRGCN%2BRHsodZSLlblSz7z8sQ5u%2BRYk%2BqohbNMTVzRh2uj9DvjCdrYTFPnXDGfkTxTC%2BsOwsCafMuZ3C0b2fP7Xql2fn%2FnRr1rzMpe5N65h2RzjsTyCiTlaZ0EFAQG6iqEfs14pytg7d5AQ%2B9auFwdi9rnjc5sv6L5elGt8pKd2ak3MIR1syYdYkhT4HJjq9PFC18ldEWzLHRFmtnx4db8F5ouV8jiZDYCDw61O2CJRafExGGWnOP8Rn3W1co%2BA9Z1bQWjrXxCghREBqEi80Yzkb1E3Q%2FcmzbqbjOS0C3PnryMFI7NuuwS%2B%2BLai1TFN8dP3beQ79pwOsY8bSp1sXO%2BZt%2FN5MpqialkamoezXy9HvwffweQloCVJKRUpw1pYkDM9GIpMwWyLngku8igtoRDZqbfia%2FIqn%2FMLTppM80XGz%2Bb2kXZfW8ulNJp1bH8Lggy87YYtH0JEsGZZKnBl1yBCAvdSzGxjThhPebFSaDWXpBrz94RgWdM1tJCHtj%2FmVrnf0%2Fly6UMU6hueBpQ2h%2F2BWpOYbvQ6sise9bvRF%2BYAo3E%2ByMcpwLNusUO%2B91L%2BXy3r6GYjWTgduzyM7Qqn9%2BU0YVY8EfTlljB0kX%2BIBtIi3BXfz7MsxXAWW%2B250uAWQ461g5jSduDAm8OfHQnDLTPS2JuXHzkN4bSBLfwpxb4Y31yvysgK3R9m6kc%2FzTrQzYhyy3OozD2LmayycZV6CS5WPmD00x8AfadcOI2zadtIUb124zfe4cXnr%2Fp2hacz02OtvfJ68LjxRgyq9sNl3SfH4bjIz%2Bm1u%2B5%2FHmnLj5PxfWdT5qMzOQykK%2Fh4owgOCNtQY6sQH%2BL8%2FhB96uIezrYXC883Lv0LeicHTeOixlu0e6U75R7aQ9or%2BO40R15wxU37T9Dfd9obuAF%2B1oEmVaMb9eCSTs8ugQS%2BpOfyt0VrHMmNEahzB54xGvx1%2BBuY%2FGeJOfEFUNYUUeZNFU3hE24LCtERP7IYBTp%2BNLUmQGTX7GDpOEIa0Mc16wX8WyHvDdexOjcD3LPUCj6hig82DUJlnLszB%2B05NmO0xlB2396dfaDdjtVYs%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20240726T102019Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYVFBZQ7EQ%2F20240726%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=ef15610e59264197839d7638947c7e8ee5b08bbcd1cba9c7fb5d01ab7ff9da47&hash=4edb84797ac532b03f3c2e1f4e12952d4914ef23bd6c86f0171926d66ff350cc&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1876610213017372&tid=spdf-e7bd4e67-87c0-4b1b-956b-d5c2481df4b0&sid=08f26ee989e48846c04b08a322191cc90913gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1d045d045a510358520603&rr=8a93a80bdc4448c8&cc=gb,10.1016/j.egypro.2013.11.035,"Trevor Sweetnam
Catalina Spataru
Billy Cliffen
Spyridon Zikos
Mark Barrett","Billy Cliffen
Spyridon Zikos 
Department of Civil, Environmental & Geomatic Engineering, UCL, Gower Street, London, WC1E 6BT, UK (51.52441674322096, -0.13436038777221257)",,[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"In order to limit climate change and ensure long term energy security, Governments worldwide are implementing policies which encourage the deployment of renewable energy technologies. Driven by the European Union's 20-20- 20 strategy, Governments throughout Europe have implemented policies to support renewable generation and energy efficiency. In the UK, a Feed-in Tariff (FiT) scheme was launched in 2010 and has been so successful in creating growth in the PV market that tariff digression has had to be accelerated. A loan scheme, the Green Deal, which provides up front capital for energy efficiency measures was launched in 2012.

Despite the success of the FiT scheme, the penetration of PV in London has lagged behind other areas. In this paper we examine the reasons for this by taking Berlin and the German policy of Feed-in Tariffs and soft-loans as a comparator and modeling the effect of tariff rates and loan availability on uptake in London to understand the impact the Green Deal might have on the UK PV market. Further, we address another important consideration for policy, namely, shortcomings in the field performance of PV systems through the comparison of theoretical and measured performance. It is concluded that soft-loans would have a limited impact on market growth when compared with the effect of providing increased FiT rates to social landlords.",,,,,,,,,,,,,RPS,Journal article
Indoor air quality in London schools. Part 1: 'performance in use',Indoor air quality in London schools: Part 1,London,2014,https://journals-sagepub-com.libproxy.ucl.ac.uk/doi/full/10.1177/1420326X14527976,10.1080/17508975.2014.918871,"Lia Chatzidiakou
Dejan Mumovic
Alex James Summerfield
Martin Tàubel
Anne Hyvärinen",,"Martin Tàubel
Anne Hyvärinen
Department of Environmental Health, National Institute for Health and Welfare, Kuopio, Finland
(62.89666626096984, 27.641130827318015)",[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"This study aims to assess the adequacy of current guidelines, framed around thermal comfort, estimated ventilation rates, and CO2 levels, for the provision of indoor air quality (IAQ) in school classrooms. It draws on detailed monitoring data from a sample of 18 classrooms from 6 London schools. Overheating during the non-heating season was identified in eight south-, south-east-, and east-facing classrooms in two Victorian and two contemporary schools. Four classrooms in these contemporary schools also failed to keep average indoor CO2 levels below 1500 ppm in the non-heating season. During the heating season, eight classrooms exceeded the daily average indoor CO2 levels. Mean indoor particulate matter (PM)10 and PM2.5 levels recorded in all classrooms in both seasons were higher than 20 and 10 μg/m3, respectively, indicating that school exposure during an academic year may exceed annual recommended WHO [Citation2006. Air Quality Guidelines: Global Update 2005: Particulate Matter, Ozone, Nitrogen Dioxide, and Sulfur Dioxide. Copenhagen: WHO Regional Office for Europe; Citation2010. WHO Guidelines for Indoor Air Quality: Selected Pollutants. Copenhagen: WHO Regional Office for Europe.] guideline values in all classrooms. In both seasons, all classrooms were found to have indoor total volatile organic compounds levels (median: 269 ppb and interquartile range: 64–408 ppb) above guideline thresholds (130 ppb) associated with sensory irritations. Identification of specific volatile organic compounds indicated the presence of strong indoor sources including furniture, cleaning products, and teaching materials. Findings suggest that these school classrooms often have poor IAQ due to a combination of sub-optimal building operation and management practices. Furthermore, while CO2 and ventilation rates are a useful tool for IAQ assessment, findings indicate that consideration of specific pollutants is necessary to ensure a healthy indoor environment.",,,,,,,,,,,,,RPS,Journal article
The effectiveness of retrofitted green and cool roofs at reducing overheating in a naturally ventilated office in London: Direct and indirect effects in current and future climates,The effectiveness of retrofitted green and cool roofs at reducing overheating in a naturally ventilated office in London,"Victoria Business Improvement District (51.507010650493136, -0.1349820116205276)",2014,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000337571400013&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=f41074198c063036414efcbc916f8956,10.1177/1420326X14527976,"Gurdane Virk
Antonia Jansz
Anna Mavrogianni
Anastasia Mylona
Jenny Stocker
Michael Davies","Anastasia Mylona
The Chartered Institution of Building Service Engineers, UK
51.44222698031067, -0.1543996154012606","Jenny Stocker
Cambridge Environmental Research Consultants (CERC), UK (52.20414582574699, 0.1176634251046777)",[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"Mitigating summertime overheating is increasingly viewed as a key issue in urban planning – a warming climate and increasing urbanisation will exacerbate the problem. The effectiveness of green and cool roofs at reducing summertime overheating was assessed for a naturally ventilated, poorly insulated office roof in London. This was contrasted to the application of retrofitting traditional insulation. The new Chartered Institute of Building Service Engineers overheating criteria was used to assess the level of overheating as predicted by a whole building thermal simulation model. The impacts of the roofing strategies were split into the direct and indirect effects. The indirect effects of the roofs were modelled using microclimatic modelling software. The results indicate the direct effects of green and cool roofs at reducing overheating are much greater than the indirect cooling effect. A non-insulated cool roof was found to be the most effective strategy. By insulating the roof, the level of overheating was slightly reduced. Non-insulated green and cool roofs were more effective than insulated roofs at reducing levels of overheating. When using a 2050 weather file, the building frequently overheated without the use of green or cool roof.",,,,,,,,,,,,,RPS,Journal article
Neo-liberal Public Space in London (and beyond),Neo-liberal Public Space in London (and beyond),London   ,2014,https://matthew-carmona.com/2014/01/12/neo-liberal-public-space-in-london-and-beyond/,,Matthew Carmona,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","The period since 2000 and the election of London’s first city-wide mayor has seen a reinvigorated London-wide governance as an increasingly strong counter-balance to the 33 local boroughs and London’s powerful development sector.  The national election of Labour in 1997 followed by Ken Livingstone as the first London Mayor, with his reputation for radical left-wing politics, might on the face of it have portended a return to a less favourable market environment.  But to the surprise of many, Livingstone fully adopted the precepts of neo-liberalism and, from the start, signalled his intention to work closely with the business sector and to pursue an agenda for London based on growth.",,,,,,,,,,,,,RPS,Journal article
"Manufacturing Encounters: Events, Social Interaction, and Neighborhood Space in ‘Tech City’, London",Manufacturing Encounters,"Shoreditch (51.523738088787375, -0.08018984729324652)",2014,https://www.torrossa.com/en/resources/an/3015025,10.3280/SUR2014-105005,Juliana Martins,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)",This paper examines industry events as sites for social interaction in digital industries. These settings are produced by an „industry of interaction‟ and underpinned by spatial conditions and practices that „structure interaction‟ challenging the role of proximity in creative clusters. Ambivalent relationships with the neighborhood both reinforce and challenge its role as a source of social relations. Patterns of events' use highlight the complexity of space-social interaction relationships.,This paper examines industry events as sites for social interaction in digital industries. These settings are produced by an „industry of interaction‟ and underpinned by spatial conditions and practices that „structure interaction‟ challenging the role of proximity in creative clusters. Ambivalent relationships with the neighborhood both reinforce and challenge its role as a source of social relations. Patterns of events' use highlight the complexity of space-social interaction relationships.,,,,,,,,,,,,,RPS,Journal article
Urban Simulacra: London,Urban Simulacra: London,Central London,2005,http://www.casa.ucl.ac.uk/andy/papers/VL.pdf,https://doi.org/10.1002/ad.170,"Michael Batty
Andrew Hudson-Smith",,,"Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","As the digital revolution deepens and pervades every aspect of daily life, virtual realities begin to penetrate one another in a multiplicity of ways. The amount of sensing data being compiled on the city grows, enabling the construction of virtual realities that can, in turn, be transformed for diverse purposes. Here, Michael Batty and Andrew Hudson-Smith from the Centre for Advanced Spatial Analysis, University College London, outline how they went about the construction of a virtual city in central London. A conventional 3-D-GIS/CAD model was used as the basis on which to build a digital realm in which designers are cast as avatars and populations as agents, so as to define new ways in which to understand and plan the city.",,,,,,,,,,,,,RPS,Journal article
Microclimatic effects of green and cool roofs in London and their impacts on energy use for a typical office building,Microclimatic effects of green and cool roofs in London ,"Victoria Business Improvement District (51.507010650493136, -0.1349820116205276)",2014,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000349732100021&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=f41074198c063036414efcbc916f8956,10.1016/j.enbuild.2014.11.039,"Gurdane Virk
Antonia Jansz
Anna Mavrogianni
Anastasia Mylona
Jenny Stocker
Michael Davies","Anastasia Mylona
The Chartered Institution of Building Service Engineers, UK
51.44222698031067, -0.1543996154012606","Jenny Stocker
Cambridge Environmental Research Consultants (CERC), UK (52.20414582574699, 0.1176634251046777)",[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"This paper presents the results from a modelling study that assessed the effectiveness of retrofitted green and cool roofs at reducing energy use for a typical office in Central London. These technologies were compared to application of retrofitting traditional insulation. Initial microclimatic modelling of the impact of the roofs showed that both green and cool roofs can reduce air temperatures directly above their surfaces, with maximum air temperature reductions of 1 °C. The results of the microclimatic modelling were then used as input into a whole building thermal simulation model, in order to assess the direct and indirect effects of the roofs. The building modelling results indicate that in the current climate, green roofs reduce annual energy use within the building. The level of savings are reduced when green roofs are dry in the summer. Cool roofs are more effective in the summer, but result in an annual energy penalty due to their performance in winter. In a 2050 climate scenario, both green and cool roofs result in a reduction in annual energy use. The application of traditional insulation is the most effective technology at reducing annual energy use. Adding insulation and a green or cool roof reduces the relative effectiveness of the roofs.",,,,,,,,,,,,,RPS,Journal article
Using the new CIBSE design summer years to assess overheating in London: Effect of the urban heat island on design,Using the new CIBSE design summer years to assess overheating in London,"London Weather Centre (51.53079698440101, -0.12077196142247441), Heathrow (51.46815846005924, -0.4551153749184412) and Gatwick (51.15377647279892, -0.1821165460929191)",2015,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000349980700003&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=f41074198c063036414efcbc916f8956,10.1177/0143624414566247,"Gurdane Virk
Anastasia Mylona
Anna Mavrogianni
Michael Davies","Anastasia Mylona
The Chartered Institution of Building Service Engineers, UK
51.44222698031067, -0.1543996154012606",,[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"The new CIBSE design summer years (DSYs) for London Weather Centre, Heathrow and Gatwick in London are now available for three baseline years: 1976, 1989 and 2003. This study tested how these different design summer years impacted the assessment of overheating in a naturally ventilated office in London. Two office designs were tested, an uninsulated and one retrofitted with insulation and night cooling. The choice of baseline year impacted the level of overheating for both the uninsulated and retrofitted models. Tested in the more severe years, 1976 and 2003, the offices experienced the highest levels of overheating. When an office was retrofitted and night cooled, the choice of location had more of animpact on overheating due to the urban heat island effect. London Weather Centre and Heathrow experienced higher levels of overheating than Gatwick. The study highlights the need for designers to carefully consider how the differences between the weather files will impact their overheating assessment depending on their buildings’ fabric and ventilation design.",,,,,,,,,,,,,RPS,Journal article
Indoor air quality in London schools. Part 2: long-term integrated assessment,Indoor air quality in London schools: Part 2,London,2014,https://www-tandfonline-com.libproxy.ucl.ac.uk/doi/full/10.1080/17508975.2014.918871,10.1080/17508975.2014.918871,"Lia Chatzidiakou
Dejan Mumovic
Alex James Summerfield
Martin Tàubel
Anne Hyvärinen",,"Martin Tàubel
Anne Hyvärinen
Department of Environmental Health, National Institute for Health and Welfare, Kuopio, Finland
(62.89666626096984, 27.641130827318015)",[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"The overall aim of the study is to provide empirical evidence on indoor pollution levels to assist the formation of indoor air quality (IAQ) benchmarking of school buildings under operational conditions. This article is the second part of the study and aims to quantify seasonal variation of chemical and microbial levels in London schools. Passive diffusive sampling was employed for radon, NO2, and O3 measurements. Fungal and bacterial groups and allergens were sampled with suction-based methods in settled dust and endotoxin levels were sampled in dust collected with natural deposition. Biological contaminants were analysed with molecular, cultivation-independent methods. The strong temporal and spatial variability of outdoor NO2 levels affected indoor levels and is therefore an important consideration when selecting sites for new school buildings. There is a need to further clarify on the effect of finishing, such as wall-to-wall carpeting, which may act as a significant reservoir of irritants and allergens and impact school IAQ.",,,,,,,,,,,,,RPS,Journal article
Adaptation of London's social housing to climate change through retrofit: a holistic evaluation approach,Adaptation of London's social housing to climate change through retrofit," Islington (51.550652142932016, -0.10927545038390109)",2015,https://www-tandfonline-com.libproxy.ucl.ac.uk/doi/full/10.1080/17512549.2015.1040071#d1e118,10.1080/17512549.2015.1040071,"Areti-Maria Makantasi
Anna Mavrogianni",,,[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"The UK social housing stock is highly vulnerable to climate change-induced indoor overheating. This paper presents an evaluation framework for the climate change resilience of the London social housing stock that combines dynamic thermal modelling to assess the impact of retrofit on current and future indoor temperatures and a carbon and economic analysis of retrofit packages to predict their ranking based on the priorities of different socio-economic groups. Under the 2050s High emissions scenario, 90th percentile probability, unventilated flats in the case study building were found to overheat in the future (63% increase compared to the current climate), while natural ventilation kept the overheating hours within acceptable limits. Internally applied wall insulation combined with low ventilation rates could potentially increase future overheating (48% increase). Fixed shading had a reverse impact, reducing the overheating hours by 28%, but increasing the winter heating demand by 19.5% compared to the pre-retrofit performance of the building. Movable external louvers provided a better balance between cooling and heating needs, reducing the overheating hours by 37.5% and increasing heating demand by 8%. The study findings indicate the need for optimization of social housing retrofit packages in order to combine carbon emissions reduction with future climate resilience.",,,,,,,,,,,,,RPS,Journal article
"Mapping the effects of urban heat island, housing, and age on excess heat-related mortality in London","Mapping the effects of urban heat island, housing, and age",London,2015,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000438445800001&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=f41074198c063036414efcbc916f8956,10.1016/j.uclim.2015.08.001,"Jonathon Taylor
Paul Wilkinson
Mike Davies
Ben Armstrong
Zaid Chalabi
Anna Mavrogianni
Phil Symonds
Eleni Oikonomou
Sylvia I. Bohnenstengel","Paul Wilkinson
Ben Armstrong
Zaid Chalabi
London School of Hygiene and Tropical Medicine, London WC1H 9SH, UK (51.52553254933273, -0.1266336577279949)","Sylvia I. Bohnenstengel, Department of Meteorology, University of Reading, Earley Gate, Reading RG6 7BE, UK (51.43894819664522, -0.9373516534733709)","Bartlett School of Environment, Energy and Resources (51.526804,-0.129844)","With the predicted increase in heatwave frequency in the UK due to climate change, there has been an increasing research focus on mortality during hot weather. This paper examines the risk of mortality in London during hot weather by combining data on population age and distribution, Urban Heat Island (UHI), and dwelling propensity to overheat due to geometry and fabric characteristics derived using building physics in order to calculate the spatial variation in heat-related mortality risk across London. Spatial variation of heat-related mortality was found to reflect background mortality rates due to population age, while dwelling characteristics were found to cause a larger variation in temperature exposure (and therefore risk) than UHI. The highest levels of excess mortality were found in areas with larger elderly populations, towards the outskirts of the Greater London Authority (GLA).",,,,,,,,,,,,,RPS,Journal article
"The New Localism, Anti-Political Development Machines, and the Role of Planning Consultants: Lessons from London's South Bank","The New Localism, Anti-Political Development Machines, and the Role of Planning Consultants","South Bank (51.50371971700508, -0.11165874389731288)",2015,https://www-tandfonline-com.libproxy.ucl.ac.uk/doi/full/10.1080/21622671.2015.1036912,10.1080/21622671.2015.1036912,"Mike Raco
Emma Street
Sonia Freire-Trigo",,"Emma Street, Department of Real Estate and Planning, University of Reading (51.440462286253286, -0.942138717248654)","Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","This paper draws on a study of the politics of development planning in London's South Bank to examine wider trends in the governance of contemporary cities. It assesses the impacts and outcomes of so-called new localist reforms and argues that we are witnessing two principal trends. First, governance processes are increasingly dominated by anti-democratic development machines, characterized by new assemblages of public- and private-sector experts. These machines reflect and reproduce a type of development politics in which there is a greater emphasis on a pragmatic realism and a politics of delivery. Second, the presence of these machines is having a significant impact on the politics of planning. Democratic engagement is not seen as the basis for new forms of localism and community control. Instead, it is presented as a potentially disruptive force that needs to be managed by a new breed of skilled private-sector consultant. The paper examines these wider shifts in urban politics before focusing on the connections between emerging development machines and local residential and business communities. It ends by highlighting some of the wider implications of change for democratic modes of engagement and nodes of resistance in urban politics.",,,,,,,,,,,,,RPS,Journal article
Unlocking Small Spaces Could be the Key to Solving London’s Housing Crisis,Unlocking Small Spaces Could be the Key to Solving London’s Housing Crisis,London,2016,https://discovery.ucl.ac.uk/id/eprint/1502449/1/Carmona%20Unlocking%20Small%20Spaces%20Could%20be%20the%20Key%20to%20Solving%20London%27s%20Housing%20Crisis.pdf,,Matthew Carmona,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","We constantly read and hear that London has a housing crisis manifest in too few homes, that are too expensive, with too little being dong for too long to address the problem. Finally, however, politicians are waking up to the issue and from the candidates for our next London Mayor to the Prime Minister himself, they have all been talking about the urgent need to do something!",,,,,,,,,,,,,RPS,Journal article
London's Loss of Industrial Land,London's Loss of Industrial Land,London,2016,https://discovery.ucl.ac.uk/id/eprint/1503954/7/Ferm%20art%20UD138_magazine.pdf,,Jessica Ferm,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","In the last fifteen years, since 2001, London has lost more than 1,300 hectares of industrial land (equivalent to about 1,800 football pitches), mostly for housing redevelopment. It is generally assumed that this loss is simply a reflection of the ongoing decline of industrial jobs since the middle of the 20th century, a symptom of the city’s transition from an industrial to a post-industrial economy, or from a manufacturing to a service based economy, as production has moved to cheaper locations elsewhere.",,,,,,,,,,,,,RPS,Journal article
