Theme (KEF Themes),Title,Memory Mapper Title (keywords to identify the project) (should include the research content,Project Location - In London,Date,Link,Identification- DOI/URL/ISBN/Reference no.,Authors,London Authors,Other Author (National+International),Department,Abstract,Partners,Partnership Location - In London,Partnership,Policy Sources////Citations ( from Overton),Policy source subcategory,Partnership 1,Partnership 2,Partnership 3,Partnership 4,Filter 2 (Themes),Funder 1,Funder 2,Funder 3,Source,Type of Work (phD/masters),Column,Column2,Column3,Column4,Column5,Column6,Column7
,Using space syntax and historical land-use data to interrogate narratives of high street ‘decline’ in two Greater London suburbs,Narratives of high street ‘decline’,"Surbiton (51.394, -0.307)
South Norwood (51.3995, -0.0747)",2013-10-31 to 2013-11-03,https://discovery.ucl.ac.uk/id/eprint/1418127,https://discovery.ucl.ac.uk/id/eprint/1418127,Sam Griffiths|Ashley Dhanani|Laura Vaughan|Claire Ellul|Muki Haklay|David Jeevendrampillai|Nikolina Nikolova|Patrick Rickles,"Claire Ellul
Dept of Civil, Environ &Geomatic Eng, UCL, WC1E 6BT, (51.5235712, -0.1323982)

Muki Haklay
Dept of Geography, UCL, (51.523569,-0.132424)

David Jeevendrampillai
Dept of Anthropology, UCL, WC1H 0BW, (51.5257338, -0.1321078)

Nikolina Nikolova
UCL, (51.5235712, -0.1323982)

Patrick Rickles
UCL, (51.5235712, -0.1323982)

Victor Buchili
Dept of Anthropology, UCL, WC1H 0BW, (51.5257338, -0.1321078)",,"Bartlett School of Architecture (51.525972,-0.132386)","The purpose of this paper is to provide some much needed theoretical grounding and historical-morphological context for the narratives of communal loss that recur in the reportage concerning the British high street. Given the topicality of this issue for policy-makers it is worth enquiring into precisely how far such narratives are in fact supported by a long-term perspective on historical changes in high street land uses in relation to the evolving spatial morphology of small town centres, in order to better distinguish the extent to which a further layer of socio-cultural explanation is required to account for the concern over ‘decline’. This research, undertaken as part of the EPSRC Adaptable Suburbs project at UCL, uses fully digitized historical maps, contemporary and historical land use data and space syntax analysis to identify historical-morphological parameters of change and continuity in and around two suburban high streets of Greater London since the nineteenth century: Surbiton and South Norwood. Drawing on Hillier and colleagues’ theory of ‘movement economy, the contemporary English high street, as it is represented in the case-study areas, emerges as a distinctive and resilient spatial morphology which has supported varied modes of land use over time. It concludes that the narrative of high street decline in part reflects a dominant focus on difficulties facing the UK retail sector and that a broader focus on the high street as a (re)generative social space rather than simply as a ‘retail attractor’ would allow for a broader appreciation of both its morphological and socio-economic capacities.",,,,,,Co-authorship with academic partner(s),,,,Planning and Policy,Engineering & Physical Sciences Research Council (EPSRC),EPSRC EP/I001212/1,,Discovery,,,,,,,,
,Beyond the suburban high street cliché - A study of adaptation to change in London’s street network: 1880-2013,Adaptation to change in street network: 1880-2013,"Surbiton (51.394, -0.307)
South Norwood (51.3995, -0.0747)",2013,https://discovery.ucl.ac.uk/id/eprint/1417189,https://discovery.ucl.ac.uk/id/eprint/1417189,Laura Vaughan|Ashley Dhanani|Sam Griffiths  ,,,"Bartlett School of Architecture (51.525972,-0.132386)","This article addresses the question of how the fringes of cities develop spatially at both the local scale of the individual town centre and in relation to the wider urban network. The changing network structure of the street systems of two outer suburban areas of Greater London, Surbiton and South Norwood, are analysed from the 1880s onwards. A temporal reading of the process of urban growth in relation to the historic street network of local centres allows for a nuanced understanding of the way in which cities grow over time. Rather than conceptualising suburban growth as either a seeding of new territories in tabula rasa or a ‘swallowing-up’ of older settlements, this article argues for a measured description of the spatial, social and economic properties of urban grid intensification. This research uses digitised historical maps, historical and contemporary land-use data together with space syntax analysis in order to identify historical-morphological parameters of change and continuity in London’s suburban street network from the 1880s. The analysis demonstrates that over the period of time considered there have been distinct stages in the spatial development of the city’s urban fringe. The results show that as London expanded to encircle new territories, the spatial relationships of fringe areas of the city changed markedly as larger scale infrastructure was built and local development intensified, with the effect of reconfiguring the local network of the case study suburbs. However, detailed analysis of the formation of suburban town centres using space syntax also uncovers distinctive and resilient spatial morphologies which have sustained varied modes of land use over time. Drawing on the theory of the urban ‘movement economy’ and our previous research in this area, the article shows how the complex balance of change and continuity realised in the spatial morphology of the suburban high street can be explained by complex scalar mechanisms of adaptability. We argue that these qualities have helped ensure the resilience of historical suburban centres even in the face of radical social change.",,,,,,,,,,Planning and Policy,Engineering & Physical Sciences Research Council (EPSRC),EPSRC EP/I001212/1,,Discovery,"This article is part of the Adaptable Suburbs project which also include researchers: 
Victor Buchili, Mordechai (Muki) Haklay, Claire Ellul, Patrick Rickles, and David Jeevendrampillai.",,,,,,,
,"Predicting the Microbial Risk in Flooded London Dwellings Using Microbial, Hygrothermal, and GIS Modelling",The Microbial Risk in Flooded Dwellings,London,2012 August,https://discovery.ucl.ac.uk/id/eprint/1378606,https://discovery.ucl.ac.uk/id/eprint/1378606,Jonathon Taylor,,,"Bartlett School of Environment, Energy and Resources (51.526804,-0.129844)","With a changing climate, London is expected to experience more frequent periods of intense rainfall and tidal surges, which will lead to an increase in the risk of flooding. Floodwater may deposit harmful microorganisms on building surfaces, while damp indoor environments in flooded dwellings can support the growth of microorganisms including mould, bacteria, and protozoa. This thesis investigates possible flood-borne and damp-related pathogens in flooded London dwellings, and the potential duration of microbial contamination risk following a flood event. Microbiological laboratory work and models are used to characterise microbial risk within flooded dwellings. Dwelling archetypes representative of the London housing stock are developed and hygrothermal simulation techniques used to model the flooding and drying behaviour of the archetypes under different scenarios in order to predict the duration of damp and microbial risk inside typical dwellings. The results of the combined biological and hygrothermal models are mapped alongside existing flood risk maps in order to predict areas in London susceptible to long-term microbial risk or prolonged displacement following a flood. Highlights of the research findings include the following (i) The persistence of bacterial contaminants on flooded materials is related to the type of floodwater, the drying conditions including temperature and drying rate, and the material drying characteristics, ii) Different dwellings in London have different drying behaviours due to their built form and dominant wall types, with modern purpose-built flats the most prone to long-term damp and microbial risk following a flood event, (iii) The flood height, external weather, and internal conditions including heating and ventilation can have a major impact on the length of time a dwelling will remain at risk of microbial contamination, and (iv) The concentration of properties vulnerable to long-term microbial exposure following major flood events is highest in areas of South and East London, particularly Southwark.",,,,,,,,,,Health,Engineering & Physical Sciences Research Council (EPSRC),"EPSRC: EP/G029881/1, PE/F007132/1",,Discovery,PhD thesis,,,,,,,
,Building characteristics as determinants of propensity to high indoor summer temperatures in London dwellings,Building characteristics and high indoor summer temperatures,Greater London,30-Sep-11,https://discovery.ucl.ac.uk/id/eprint/1360983/,10.1016/j.buildenv.2011.12.003,Anna Mavrogianni|Michael Davies|Phillip Biddulph|Eleni Oikonomou|Paul Wilkinson,"Paul Wilkinson
London School of Hygiene and Tropical Medicine, WC1H 9SH, (51.5254495, -0.1266846)

Michael Davies
Phillip Biddulph
Bartlett School of Graduate Studies
Central House, 14 Upper Woburn Pl, London WC1H 0NN
(51.52691197043194, -0.1298238153986028)",,"Bartlett School of Environment, Energy and Resources (51.526804,-0.129844)","Cities are expected to experience an increasing risk of overheating due to climate change and the urban heat island phenomenon. Although external factors, such as urban morphology and greening, may influence the spatio-temporal variation of overheating risk, the individual building characteristics are also likely to be important. This paper presents the results of EnergyPlus dynamic thermal simulations of 3456 combinations of dwelling types and characteristics selected to represent the London domestic stock. Two Design Summer Year weather files were used to represent the current and future climate: the CIBSE 1984–2004 and a UKCP09 future weather file (50th percentile of external temperature, 2050s, medium emissions scenario). Appreciable variation between dwelling types but generally greater variation within dwelling type was found depending on such factors as orientation, surrounding buildings and insulation levels. Under the current climate, the insulation levels had considerable impact on indoor temperatures, with combined retrofitting of roof insulation and window upgrades reducing daytime living room temperatures during the warmest continuous 5-day period of modelling by, on average, 0.76 °C (%95C.I. 0.63, 0.89 °C) for mean temperature and 1.30 °C (%95C.I. 1.05, 1.54 °C) for maximum temperature. On the other hand, internally retrofitted walls and floors tended to increase daytime living room temperatures, with a combined effect of 0.46 °C (%95C.I. 0.33, 0.60 °C) increase in mean temperature and 0.71 °C (%95C.I. 0.47, 0.96) increase in maximum temperature. Within the context of a changing climate, knowledge of insulation characteristics after retrofitting is crucial for the accurate identification of dwellings with greatest overheating potential.",Paul Wilkinson,"London School of Hygiene and Tropical Medicine, WC1H 9SH, (51.5254495, -0.1266846)",Co-authorship with academic partner(s),"Government, IGO",Healthcare agency,Co-authorship with academic partner(s),,,,Sustainability,Engineering & Physical Sciences Research Council (EPSRC),Natural Environment Research Council (NERC),,Discovery,,,,,,,,
,Modelling domestic space heating demand and heat wave vulnerability within the London urban heat island,Domestic space heating demand and heat wave vulnerability,London,2012,https://discovery.ucl.ac.uk/id/eprint/1352829,https://discovery.ucl.ac.uk/id/eprint/1352829,Anna Mavrogianni,,,"Bartlett School of Environment, Energy and Resources (51.526804,-0.129844)","The combined effect of climate change and the urban heat island phenomenon is likely to reduce the space heating needs and cold-related mortality risk of urban populations in mid latitude countries during winter; however, it is also expected to increase overheating and heat-related deaths during summer. Identifying the determinant factors for energy demand and thermal comfort across a city is hence a key requirement for energy efficient retrofit and public health strategies. The aim of this thesis was to assess the relative impact of urban warming, built form and fabric characteristics on domestic energy use and overheating risk across a major city, using London as a case study. Two housing stock models were developed: a heat demand model based on steady-state energy use calculation techniques and a multiple linear regression overheating risk meta-model of an existing dynamic thermal simulation program. Input data was derived from existing Geographic Information System databases, national housing surveys and local urban air temperature models. The heat demand model successfully reproduced the ranking of urban areas based on their actual gas consumption (R² = 0.817) in a case study area containing 8.6% of London's dwelling stock. The heat island was found to decrease the average annual domestic heating load by 14% in these urban areas compared to a rural reference site. It was shown that the overheating meta-model can replicate the output of the thermal simulation program (R² = 0.763). It was indicated that highly exposed dwelling types, such as top floor flats and bungalows, as well as internally insulated buildings are likely to present an indoor overheating problem during periods of hot weather. However, the agreement between modelled overheating levels and monitored data collected in 101 London homes in summer 2009 was relatively weak, thus highlighting the modifying role of occupant controlled ventilation for indoor thermal conditions.",,,,,,,,,,Sustainability,,,,Discovery,"PhD thesis, full text not available",,,,,,,
,Planning for markets: understanding the role of planning policy and management approaches in sustaining markets in London,Planning for markets,"Camden (51.541, -0.1433)",2012,https://discovery.ucl.ac.uk/id/eprint/1344161,https://discovery.ucl.ac.uk/id/eprint/1344161,Rosita Aiesha,,,[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"Over the last decade, there has been a growing interest amongst policy makers in the market’s potential role in contributing to solutions in key social and economic public policy agendas. In particular, Planning Policy Statement 6: Planning for Town Centres suggests that markets have a role to play in revitalising town centres and offering retail choice. To date, very little is known about the contemporary relevance of markets and specifically why markets have been prioritised in retail planning policy and received public policy interest. This paper investigates these issues further. Through a literature review, it develops a conceptual and contextual framework for understanding markets. It then draws on empirical research, i.e. survey and interview data from a study of London boroughs and a case study of one London Local Authority (Camden), to highlight the effects of current day-to-day management and planning approaches in sustaining markets. The research demonstrates that the contemporary role of the market is multidimensional, e.g. they appear to play significant roles as managed public space but also act as an important social and economic space, particularly for marginal social groups. Moreover, the empirical evidence shows that, whilst proactive planning policies do not guarantee a vibrant market, they can play a key part in protecting their permanent loss; however, equally important is the supportive management approaches taken in shaping their social survival. The research findings have relevance for the theorisation of markets in a contemporary context, as well as implications for the practical effects of planning policy intervention on markets.",,,,,,,,,,Planning and Policy,,,,Discovery,Master thesis,,,,,,,
Local growth and regeneration,A Tale of Tech City: The Future of Inner East London’s Digital Economy,,"East London Tech City (51.5257, -0.0875)",01-Jun-12,https://discovery.ucl.ac.uk/id/eprint/10175207/1/Tale-of-tech-city.pdf,https://discovery.ucl.ac.uk/id/eprint/10175207/1/Tale-of-tech-city.pdf,Max Nathan (The author produced the paper before joining Bartlett)|Emma Vandore|Rob Whitehead,"Emma Vandore
n/a

Rob Whitehead
Centre for London, SE1 4YB, (51.5009271, -0.0921452)

Max Nathan
Spatial Economics Research Centre, London School of Economics, London WC2A 2AE (51.51361050312227, -0.11666715957567746)",,"Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","This report maps the development of ‘Silicon Roundabout’, and provides a detailed account of the firms and jobs that make up the cluster. All over the world governments dream of creating centres of digital innovation to rival Silicon Valley. The British government is no exception. Over the last two years it has led a high profile drive to support ‘Silicon Roundabout’ – the high tech cluster that has emerged in Inner East London – and turn it into something bigger: Tech City. But policy makers haven’t known as much about the cluster as they need to. Based on fresh qualitative and quantitative research, including in-depth interviews with digital entrepreneurs in the cluster and beyond, A Tale of Tech City maps the development of ‘Silicon Roundabout’ from its emergence in the late 1990s, and provides the most detailed account yet of the firms and jobs that make up the cluster. Despite this, future growth is not guaranteed. A Tale of Tech City puts forward possible scenarios for how the cluster could develop and makes recommendations on skills, access to finance, workspace, connectivity, mentoring and business development to help ‘grow our own’ high-value digital firms of the future.",1. Emma Vandore|2. Rob Whitehead|3. British Venture Capital Association|4. British Telecommunications Plc|5. London & Partners ,"1. did her master in the Bartlett School of Planning (51.526676177978516,-0.13003753125667572)
2. Centre for London, SE1 4YB, (51.5009271, -0.0921452)
3. WC2A 1JF, (51.5168827, -0.1123057)
4. E1 8EE, (51.5142795, -0.0716975)
5. SE1 0LL, (51.5036212, -0.0985601)","1. Co-authorship with academic partner(s)
2. Co-authorship with research organization(s)
3.4.5. Collaborator(s)",,,Collaborators,,,,Planning and Policy,,,,Discovery,"Dr Duncan Smith at UCL Bartlett CASA contributed gis maps, include interviewees and datasets from different supported sources",,,,,,,
,Estimating intra-metropolitan journey-to-work CO2 emissions: a multi-modal network approach applied to the London Region 2001,Estimating  journey-to-work CO2 emissions,Greater London,12-May-12,https://discovery.ucl.ac.uk/id/eprint/10127786,https://discovery.ucl.ac.uk/id/eprint/10127786,Duncan A. Smitha|Joan Serrasa,,,"Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","This paper develops a methodology for estimating network distances and CO2 emissions for UK census ward-level journey-to-work interactions. Improvements are made on existing empirical measures by providing comprehensive intra-metropolitan analysis; increasing network routing accuracy with UK public transport timetable and GPS-based average road speed data; allowing multimodal travel; and developing metrics suitable for travel sustainability analysis. The output unit of CO2 emissions has been selected to enable the integration of mode-choice and travel distance data, and to aid compatibility with integrated assessment applications. The methodology is applied to the case study of the London Region for the year 2001. A very high degree of intra-metropolitan variation is identified in the results. Employment sub-centres diverge in their per-capita CO2 emissions by up to 300%, with specific problems of carbon intensive commuting to major airports and the specialised employment region of the Western Sector. These findings indicate that subcentre travel variation may be intrinsic to polycentric urban structures. The paper discusses means to improve the methodology, in relation to issues of coefficient disaggregation and modelling more complicated multi-modal trips.",Transport for London|,"E20 1JN, (51.5420211, -0.0091897) ",Data support,,,Data support,,,,Sustainability,Economic and Social Research Council (ESRC),,,Discovery,With 4 main data sources,,,,,,,
,"Spatial analysis of housing markets with land rent theory of political economy: the cases of London, Seoul and Los Angeles",Spatial analysis of housing markets,London,2011,https://discovery.ucl.ac.uk/id/eprint/1335907,https://discovery.ucl.ac.uk/id/eprint/1335907,Joon Park,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","This study adopts Marxian land rent theory as a framework to understand the structure of house prices with explicit attention to labour reproduction in an urban context. It attempts to correct the misunderstandings in Marxian land rent theory and develop it for an urban context. The four categories of land rent of differential rent, differential rent 2, absolute rent, and monopoly rent are critically re-examined. Subsequently, the combination of absolute rent and differential rent is suggested as a general structure for land rents in an urban context. The dynamic mechanism of changes in land rents is explained with the concepts of emulation, differentiation and shift between groups of houses based on the structure of land rents. The process of the formation of housing submarkets has been examined for a practical preparation for empirical analysis and a theoretical basis for the subdivision of the housing market. Spatial submarkets are identified by focusing on the interactive relationship between residential spheres (a unit consisting of a centre of employment and the surrounding residential area). Sectoral submarkets are defined based on social and environmental features as well as the structural features of dwellings. For empirical analysis, three metropolitan cities were chosen: London as monocentric, Seoul as tri-centric and Los Angeles as polycentric. Empirical analysis has used commuting patterns and the contours of house prices as the criteria to identify spatial submarkets with the help of network analysis and GIS. Simple OLS regression analysis of house prices on the accessibility to centre was conducted in each identified submarket. The results were used to explore the structure of and the dynamic changes in land rents. A consistent structure of land rents was observed in each housing submarket across all three cities. The implication on the condition of labour reproduction was drawn out by interpreting the changes in land rents over a period of 10 years in each city. The analysis of London revealed a monocentric housing market structure and the suitability of commuting time over physical distance as an accessibility variable. In Seoul‟s case, the transition from tri-centric to monocentric housing market was observed and a comparative approach with rent and price data enriched the interpretation of the changes in the structure of the housing market. The impact of social and environmental features of the neighbourhood, such as class, ethnic concentration and negative externality, on house prices was highlighted in the analysis of Los Angeles.",,,,,,Data support,,,,Planning and Policy,,,,Discovery,PhD thesis,,,,,,,
,"Hydro-Urbanism: Reconfiguring the Urban Water-cycle in the Lower Lea River Basin, London",Urban Water-cycle in the Lower Lea River Basin,"Lower Lea river basin (51.550395,-0.015256)",2011 September,https://discovery.ucl.ac.uk/id/eprint/1336876,https://discovery.ucl.ac.uk/id/eprint/1336876,Tse-Hui Teh (produced this thesis when in the Faculty of Engineering),,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","This thesis explores how water infrastructures can be reconfigured in the urban environment to the advantage of human society in the future. It found actor-network theory co-evolutionary pathways between current material configurations and social practices for these reconfigurations. Material configurations include infrastructures, urban form, fixtures, fittings, and water types. Social practices, include existing behaviours, imagined behaviours, desires, and aspirations. This is an important question to answer because there are many places around the world, both in developed and developing countries that currently face inadequate water supplies to serve the needs of their ever growing populations, or conversely flooding due to extreme precipitation or sea level rise. The lower Lea river basin in London is one such area. The large scale engineering solutions of pipes and pumps to control water that have been the typical solution are reaching their limits therefore it is imperative to find other means to manage water in urban environments. This research used an actor-network theory co-evolution framework to understand the existing urban water-cycle, and to find areas of transformation in order to develop actor-network co-evolutionary pathways for change. Interviews, group discussions and water diaries were used to investigate the existing conditions and anticipated future changes of both private citizens and water professionals. An iterative process of design synthesis and discussions were repeated twice to test and define the actor-network theory co-evolutionary pathways. This research stretches actor-network theory from its ethnographic beginnings into the realm of the future through design propositions. It found that there were two strongly favoured actor-network theory co-evolutionary pathways for reconfiguring the urban water-cycle in the lower Lea river basin. These were increasing freshwater productivity and transforming waste to resource. These create new water-cycle assemblages that offer advantages to people who face many, yet uncertain, types of water stress in the future.",Local participants,,Anonymous Public Engagement ,,,Anonymous Public Engagement,,,,Planning and Policy,,,,Discovery,PhD thesis,,,,,,,
Public and community engagement,Public engagement with water conservation in London,Public engagement with water conservation,"Hackney (51.55, -0.058333)
Tower Hamlets (51.516667, -0.05)
Newham (51.516667, 0.033333) 
Waltham Forest (51.566667, -0.033333)
Harringey (51.601632, -0.112915)",18-Jan-11,https://discovery-pp.ucl.ac.uk/id/eprint/150356/,10.1111/j.1747-6593.2011.00256.x,"Tse-Hui Teh (now in the Bartlett School of Planning), Sarah Bell (now in BSEER), (they produced this work when in the Department of Civil, Environmental and Geomatic Engineering)|Ud Doron|Muki Haklay",,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","Understanding water demand and consumers' capacity for change is essential in underpinning water demand management and water efficiency programmes. This paper presents the outcomes of a qualitative study, which used discussion groups relating to water infrastructure with environmentally aware citizens in five London boroughs in the Lower Lea River Basin. The results showed a subtle interaction between users, water and technology. Users are generally unaware of their own water consumption. Individual perceptions of changes in water behaviour are constrained by habit and lack of knowledge about what changes can be made and how. Knowledge of environmental information was described as the inspiration behind making any changes. The paper concludes that access to information about water resources, infrastructure and conservation measures should be enhanced because although information sources are abundant, participants claimed they were inaccessible without considerable effort. Finally, an emphasis should also be put on helping the public form a more substantial part in environmental decisions.",,,,,,,,,,Sustainability,,,,Discovery,,,,,,,,
,Affordable workspace: a critical evaluation of planning policy and implementation in London,Affordable workspace,London,2011,https://discovery.ucl.ac.uk/id/eprint/1334449,https://discovery.ucl.ac.uk/id/eprint/1334449,Jessica Ferm,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","Rising land values accompanying the growth of central business districts and popularity of inner city living in resurgent world cities have raised questions about the impact on lower value, small businesses, who struggle to compete for space in the city. In London, planning authorities are developing policies based on the affordable housing model that require developers of mixed-use schemes on land previously in employment use, to include an amount of ‘affordable workspace’. This research examines policy objectives and outcomes of thirteen mixed-use schemes with affordable workspace across London, with a particular focus on the London Borough of Hackney, which has been using planning gain to implement affordable workspace since 2003. The perspectives of the three main stakeholders are considered; the planning authority, the developer and the workspace provider. The research reveals that the motivations for affordable workspace policies are more about promoting economic development – in particular either protecting or promoting creative industry clusters – than promoting social equity or sustainability. To ascertain whether policy is addressing the problem, the case studies explore the factors influencing the success of schemes, the difficulty of defining and delivering ‘affordability’, whether the causes of the problem are being tackled, and who are the winners and losers. The impact of policy on economic development, city vibrancy, social equity and sustainability is analysed. The policy’s contribution to job creation, cluster formation and economic diversity is explored with reference to local and regional objectives. The research shows that, although there are clear benefits of the policy for artists and small, creative industry businesses, there are problems of industrial gentrification, the plight of lower-value businesses, and homogenous developments that contribute little to the economic or social diversity of the area. Recommendations are made for alternative or complementary strategies to address the problems facing small, low-value businesses in cities.",,,,,,,,,,Planning and Policy,,,,Discovery,"PhD thesis, full text not available",,,,,,,
,"Polycentricity and Sustainable Urban Form: An Intra-Urban Study of Accessibility, Employment and Travel Sustainability for the Strategic Planning of the London Region",Polycentricity and Sustainable Urban Form,London,2011 August,https://discovery.ucl.ac.uk/id/eprint/1324180,https://discovery.ucl.ac.uk/id/eprint/1324180,Duncan Alexander Smith,,,"Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","This research thesis is an empirical investigation of how changing patterns of employment geography are affecting the transportation sustainability of the London region. Contemporary world cities are characterised by high levels of economic specialisation between intra-urban centres, an expanding regional scope, and market-led processes of development. These issues have been given relatively little attention in sustainable travel research, yet are increasingly defining urban structures, and need to be much better understood if improvements to urban transport sustainability are to be achieved. London has been argued to be the core of a polycentric urban region, and currently there is mixed evidence on the various sustainability and efficiency merits of more decentralised urban forms. The focus of this research is to develop analytical tools to investigate the links between urban economic geography and transportation sustainability; and apply these tools to the case study of the London region. An innovative methodology for the detailed spatial analysis of urban form, employment geography and transport sustainability is developed for this research, with a series of new application of GIS and spatial data to urban studies. Firstly an intra-metropolitan scale of spatial analysis is pursued, allowing both an extensive regional scope and a sufficiently intensive local level of detail to analyse the decentralisation processes described above. Secondly a series of detailed spatial datasets are introduced to analyse employment geography and dynamics, including business survey data and fine-scale real-estate data. For the measurement of accessibility, detailed network analysis and congestion data is used. Finally for the assessment of transportation sustainability, an indicator of CO2 emissions at intra-urban scales is developed, and is calculated for the 6.5 million journey-to-work trips in the study region. The results highlight extreme intra-urban variation in accessibility, employment geography and travel carbon emissions with clear relevance to urban form and sustainable travel debates in the London region.",1. Greater London Authority|2. Transport for London|3. Valuation Office Agency,"1. E16 1ZE, (51.5074947, 0.0162230)
2. E20 1JN, (51.5420211, -0.0091897) 
3. W1D 5DA, (51.5127940, -0.1304612)",Data support,,,Data support,,,,Planning and Policy,Economic and Social Research Council (ESRC),ESRC studentship,,Discovery,PhD thesis,,,,,,,
,Articulating sustainable building: application of a network approach to a London case study,A network approach in sustainable building,"7 More London, SE1 2RT, (51.5042354, -0.0816033)",2011,https://discovery.ucl.ac.uk/id/eprint/1317803,https://discovery.ucl.ac.uk/id/eprint/1317803,Martine Bronwyn Sarah Whitaker Spinks,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","A building is not simply an outcome; and a sustainable building is not a fixed goal. They are more than structures contrived from planned associations amongst industry professionals. Instead, a building involves processes of engagement amongst different groups, technologies, materials and methods. It is these processes of socio-techno engagement which contribute to the uptake of the sustainability agenda, and in turn can create sustainability effects. The following research sets out problems associated with the traditional staged approach to development and conceptualisations of building sustainability as an output. It proposes instead a network approach as a conceptual framework for understanding processes of socio-techno network engagements with the sustainability agenda. To this end, three research questions are presented: one empirical, one analytical and one conceptual, each of which focuses on the application of a network approach to the study of urban development and the uptake of the sustainability agenda. The network approach adopted draws on key facets of Actor-network Theory and Social Network Analysis. A qualitative methodology is employed to investigate a case study London sustainable prime commercial building process: the PricewaterhouseCoopers new headquarters development, 7 More London. Analysis of interview data is coded and mapped using ATLAS.ti software. Empirical research focuses on identification of social and technical actors involved in building networks, and understanding the mobilisers and intents of their actions. There is also an explicit focus on boundary objects: how common objects and objectives, and translations of them, effectively facilitate and delimit engagement both in the development process and with the sustainability agenda. 5 key findings emerge from detailed analysis which collectively help answer the research questions and raises some new questions of their own. This thesis concludes with proposals for future research.",,,,,,,,,,Sustainability,,,,Discovery,"PhD thesis, full text not available",,,,,,,
,The persistence of suburban centres in Greater London: combining Conzenian and space syntax approaches,The persistence of suburban centres,"Barnet (51.6444, -0.1997) 
South Norwood (51.3995, -0.0747)
Surbiton (51.394, -0.307)","Monday, 17 May 2010",https://discovery.ucl.ac.uk/id/eprint/150358,https://discovery.ucl.ac.uk/id/eprint/150358,Sam Griffiths|Laura Vaughan|Catherine Emma Jones|Muki Haklay,"Catherine Emma Jones
Muki Haklay
UCL Department of Civil, Environmental and Geomatic Engineering, WC1E 6BT, (51.5235712, -0.1323982)

Laura Vaughan
Sam Griffiths
Bartlett School of Graduate Studies
Central House, 14 Upper Woburn Pl, London WC1H 0NN
(51.52691197043194, -0.1298238153986028)",,"Bartlett School of Architecture (51.525972,-0.132386)","The relationship between settlement form and the historical persistence of concentrations of diverse socio-economic activity in Greater London's suburban centres through successive phases of rapid urban transformation is examined. Particular consideration is given to the development of three suburbs in Greater London: Barnet, South Norwood and Surbiton. Conzenian and space syntax approaches are combined within an integrated GIS environment. Both these approaches identify the historical grain of settlement forms as the key to understanding how socio-economic activity becomes organized in the built environment. Using Surbiton as a case study the analysis demonstrates firstly, how the configuration of Greater London's historical road network relates to the persistence of socio-economic activity in the built environment over time, and secondly, how diverse, localized patterns of such activity are accessible at a range of morphological scales. It is concluded that the relationship between suburban built Pm and socioeconomic activity is both configurational and historical in nature",,,,,,Co-authorship with academic partner(s),,,,Social Sciences and Humanities,,,,Discovery,"Acknowledge data from Ordnance Survey Address Layer Two, Crown Copyright (2009)",,,,,,,
,"Valuing housing and green spaces: Understanding local amenities, the built environment and house prices in London",Valuing housing and green spaces,London,2010 September,https://discovery.ucl.ac.uk/id/eprint/10128015/,978-1-84781-390-9,Duncan Smith,,,"Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","This report is an update of a previous GLA Economics study- ‘Valuing Greenness: Green spaces, house prices and Londoners’ priorities’- published in 2003. The previous study used a hedonic modelling approach to assess how the amount of green space within wards in London affected house prices, whilst taking into consideration other influential factors such as transportation accessibility and housing density. The hedonic pricing method is based on the theory that the value of a good is based on the combination of the many attributes the good possesses. In the case of housing this includes domestic facilities, access to services and so on. The value of individual attributes can be inferred from the hedonic model, and thus it is a useful method for estimating the value of attributes that influence house prices, particularly where markets do not exist such as for green spaces. This research builds on the original study with better green space data and a wider range of built environment and locational factors analysed at a more detailed spatial scale.",GLA Economics,"London SE1 2AA, (51.5048513, -0.0786925)",Collaborator(s),,,Collaborators,,,,Planning and Policy,,,,Discovery,,,,,,,,
